Cluster ID,confidence_score,Username,Name,Location,User Desc
0,0.99923396,NayDwiyana,🌵,Indonesia,"Smile, cause you know the rain won't last forever."
0,0.99923396,NayDonuts,🐥,,"The less you respond to rude, critical, argumentative people, the more peaceful your life becomes. Akun ke 2, @dwiyana_DKM"
1,1,MIlyas1107,Hihihaha,"DKI Jakarta, Indonesia",Nothing
2,1,NamungAbdiGusti,Name cannot be blank.,unidentified.,"Semua yg dilakukan, hanya untuk mengurangi kadarnya, karena penyesalan itu sebuah keniscayaan. Ikhlaskan."
3,1,Acuantodaycom,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
4,1,sueobrien1991,Indonesia Maju,"Pati, Indonesia",🍇🍇🍇
5,1,LaudyOe,Laudy_Oe,,minimalis make up club • 💯% pecinta masakan Indonesia • NKRI harga mati • Pŕogram Follbaçk 💯%
6,1,FaktaNKRI72,Fakta Indonesia,"Semarang Tengah, Indonesia","Optimis #IndonesiaMaju
• 💯% Indonesia"
7,1,JeKaTe42,JKT42,"Semarang Tengah, Indonesia",Berselancar dihatimu
8,1,LinNasution,LinNasution,indonesia,cookie monster
9,1,miavita_2021,Miavitatroso,Jepara. Indonesia,"Tenun Troso Jepara, batik, Beautica masker organik, mutiara NTB, kopi Rembang, qur'an king Salman https://t.co/0RcOt2RzdN   https://t.co/t1PA7TJnk1"
10,1,Rizki44874585,Rizki44874585,,"Stand with Ulama
https://t.co/1W0YZY28lb"
11,1,AlhamidRejal,Hamid S.H.,Java island,"Jangan Bersedih, ALLOH bersama kita"
12,1,sitolin8,Yakobus Sitolin,,
13,1,halawa_sr,Halawa SR,"Kota Tangerang, Banten",Ketua DPW PPN Provinsi Banten 2020-2024
14,1,rilislampung,rilislampung,Bandarlampung,Referensi Berita Bermutu
15,1,Iwritesee,right sea,,
16,1,MAKINUN17,MAKINUN,"Jombang, Jatim,Indonesia","TA Pelayanan Sosial Dasar
Kab. Mojokerto_Jawa Timur"
17,1,kimcipedes,KIM CIPEDES,"Sukajadi, Indonesia","Sekretariat : Jl. Sukagalih No. 24 Kelurahan Cipedes Kecamatan Sukajadi Bandung HP : +62 821-1616-5552, 082117982424"
